Name,,,,,,,,,,,,,,,,,,,,
Neomycin B,0.179,0.1,0.098,0.094,0.068,0.06,0.054,0.051,0.037,0.037,0.033,0.02,0.013,0.013,0.009,0.009,0.009,0.007,0.007,0.007
Paromomycin,0.185,0.112,0.101,0.071,0.07,0.061,0.055,0.043,0.039,0.038,0.024,0.013,0.01,0.01,0.01,0.001,,,,
Sisomycin,0.217,0.134,0.122,0.079,0.079,0.048,0.044,0.043,0.042,0.029,0.026,0.019,0.016,0.015,,,,,,
Streptomycin,0.434,0.397,0.046,0.042,,,,,,,,,,,,,,,,
Tobramycin,0.175,0.127,0.1,0.095,0.076,0.073,0.072,0.055,0.04,0.037,0.03,0.027,0.014,0.012,0.01,,,,,
Gentamicin,0.294,0.165,0.163,0.107,0.06,0.057,0.04,0.023,0.021,,,,,,,,,,,
Neamine,0.323,0.172,0.153,0.105,0.095,0.057,0.024,0.017,0.001,,,,,,,,,,,
Kanamycin,0.246,0.178,0.136,0.132,0.1,0.099,0.021,0.018,0.015,0.001,,,,,,,,,,
Amikacin,0.411,0.305,0.111,0.083,0.034,,,,,,,,,,,,,,,
DMA-1,1,,,,,,,,,,,,,,,,,,,
DMA-148,0.975,0.025,,,,,,,,,,,,,,,,,,
DMA-156,1,,,,,,,,,,,,,,,,,,,
DMA-164,0.898,0.09,0.011,,,,,,,,,,,,,,,,,
DMA-180,0.924,0.067,,,,,,,,,,,,,,,,,,
DMA-186,1,,,,,,,,,,,,,,,,,,,
DMA-187,0.841,0.128,0.021,,,,,,,,,,,,,,,,,
DMA-190,0.925,0.068,,,,,,,,,,,,,,,,,,
DMA-191,1,,,,,,,,,,,,,,,,,,,
DMA-193,0.776,0.218,,,,,,,,,,,,,,,,,,
DMA-194,1,,,,,,,,,,,,,,,,,,,
TO-PRO-1,1,,,,,,,,,,,,,,,,,,,
Mitoxantrone,0.526,0.266,0.076,0.039,,,,,,,,,,,,,,,,
DPF m1,0.737,0.232,,,,,,,,,,,,,,,,,,
DPF p1,0.811,0.168,,,,,,,,,,,,,,,,,,
Furamidine,1,,,,,,,,,,,,,,,,,,,
Ethidium Bromide,1,,,,,,,,,,,,,,,,,,,
H-33258,0.131,0.128,0.12,0.116,0.113,0.109,0.066,0.048,0.035,0.019,0.016,0.01,0.01,0.009,0.004,,,,,
DCC-3k,1,,,,,,,,,,,,,,,,,,,
DCC-3l,0.881,0.1,,,,,,,,,,,,,,,,,,
DCC-3u,0.508,0.456,0.017,,,,,,,,,,,,,,,,,
DCC-3v,1,,,,,,,,,,,,,,,,,,,
DCC-3q,0.544,0.436,0.01,,,,,,,,,,,,,,,,,
DCC-3r,1,,,,,,,,,,,,,,,,,,,
Thiazole Orange (tosylate),1,,,,,,,,,,,,,,,,,,,
DPF m3,0.76,0.209,,,,,,,,,,,,,,,,,,
DPF m9,0.59,0.213,0.069,0.057,,,,,,,,,,,,,,,,
DPF m10 ,0.59,0.191,0.077,0.059,,,,,,,,,,,,,,,,
DPF p6,0.613,0.341,0.046,,,,,,,,,,,,,,,,,
DPF p15,0.349,0.313,0.164,0.075,0.058,,,,,,,,,,,,,,,
Acridine Orange,0.989,0.011,,,,,,,,,,,,,,,,,,
DPF m2,0.801,0.188,,,,,,,,,,,,,,,,,,
DPF p2,0.862,0.133,,,,,,,,,,,,,,,,,,
DPF p5,0.703,0.272,,,,,,,,,,,,,,,,,,
DPF p8,0.703,0.141,0.126,,,,,,,,,,,,,,,,,
DPF p13,0.872,0.1,,,,,,,,,,,,,,,,,,
Bernil m3,0.756,0.112,0.101,,,,,,,,,,,,,,,,,
Bernil p8,0.749,0.068,0.065,,,,,,,,,,,,,,,,,
Bernil p13,0.904,0.044,,,,,,,,,,,,,,,,,,
