lnkoff,rgyr,glob,ecc,AM1_dipole,AM1_E,AM1_HF,AM1_HOMO,apol,ASA+,ASA_H,ASA_P,ast_violation,ast_violation_ext,a_acc,a_aro,a_base,a_ICM,a_nH,a_nN,a_nO,balabanJ,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_3,BCUT_SLOGP_0,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_1,b_1rotN,b_1rotR,b_double,b_max1len,b_rotR,CASA+,CASA-,DASA,DCASA,density,diameter,dipole,dipoleX,dipoleY,dipoleZ,E_ang,E_ele,E_nb,E_oop,E_rele,E_rsol,E_rvdw,E_sol,E_stb,E_str,E_strain,E_tor,E_vdw,FASA+,FASA-,FASA_H,FCASA+,FCASA-,GCUT_PEOE_0,GCUT_PEOE_1,GCUT_PEOE_2,GCUT_SLOGP_0,GCUT_SLOGP_1,GCUT_SLOGP_2,GCUT_SLOGP_3,GCUT_SMR_0,GCUT_SMR_1,GCUT_SMR_2,h_ema,h_emd_C,h_logD,h_logS,h_pavgQ,h_pKa,h_pKb,h_pstates,h_pstrain,Kier3,KierA2,KierFlex,lip_acc,lip_don,lip_druglike,lip_violation,logP(o/w),logS,mutagenic,npr1,opr_brigid,opr_violation,PC-,PEOE_PC-,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-4,PEOE_VSA-5,PEOE_VSA_FHYD,PEOE_VSA_FNEG,PEOE_VSA_FPNEG,PEOE_VSA_NEG,petitjean,pmi1,pmiX,pmiY,pmiZ,Q_PC+,Q_RPC-,Q_VSA_FNEG,Q_VSA_FPNEG,Q_VSA_FPPOS,Q_VSA_NEG,Q_VSA_PNEG,Q_VSA_POL,Q_VSA_POS,reactive,RPC+,rsynth,SlogP_VSA1,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA8,SlogP_VSA9,SMR_VSA0,SMR_VSA1,SMR_VSA2,SMR_VSA4,SMR_VSA5,SMR_VSA7,std_dim2,std_dim3,VAdjEq,vsa_acc,vsa_base,vsa_don,vsa_other,vsurf_A,vsurf_CP,vsurf_CW1,vsurf_CW2,vsurf_CW6,vsurf_CW8,vsurf_D1,vsurf_D8,vsurf_DD12,vsurf_DD13,vsurf_DD23,vsurf_DW12,vsurf_DW13,vsurf_DW23,vsurf_EDmin1,vsurf_EWmin1,vsurf_G,vsurf_HB1,vsurf_HB3,vsurf_HB8,vsurf_HL1,vsurf_ID3,vsurf_ID7,vsurf_ID8,vsurf_IW1,vsurf_IW2,vsurf_IW3,vsurf_IW4,vsurf_IW5,vsurf_IW6,vsurf_IW7,vsurf_IW8,vsurf_R,vsurf_W2,vsurf_Wp1,vsurf_Wp2,vsurf_Wp3,vsurf_Wp5,vsurf_Wp6,vsurf_Wp8,weinerPath
-4.045173518,4.820693411,0.146525076,0.81751964,21.54952998,-207757.4795,236.2456696,-17.88922399,90.86412534,405.9667889,289.3221011,528.8321147,3,5,14.97229219,0,4.027707809,1.633672329,50.02770781,6,13,1.4955996,-2.802550805,-0.492872466,2.889065188,-3.364813769,-0.576655953,0.518551791,2.674108416,-0.421730368,9,0.2,0,4,0.2,7138.113362,1660.746354,283.1014592,5477.366935,0.827739957,17,6.978776876,0.898618613,3.141414802,-1.908908558,27.94259402,375.3167482,-65.71853821,0,66.23124371,71.18227455,226377.6008,-497.7945243,3.271584039,13.85651971,0.007910201,38.03444004,56.75924039,0.495546465,0.150951831,0.353501713,8.705945967,2.040695185,-0.857918515,-0.337031053,0.185183796,-2.239047451,-0.449571448,0.0542,3.1,-0.644932918,-0.236103964,0.14451797,19.78360819,21.31565416,-13.48600349,13.39154953,4.797571078,7.651696117,7.230768837,11.82393607,1.826005323,7.0620189,14.6135,12.131009,19,23.02770781,0,3,-9.2402601,2.482155743,0,0.358196466,23,5,-13.50820403,-6.811182956,0.032077567,0.057606618,18.70540786,125.1664534,124.6330832,28.27000471,79.50444665,0,104.1445949,0.098629492,0,0,0,0,0.523329239,0.153467342,0.153291612,87.06426382,0.47058824,4643.546431,2919.944312,5865.255125,5638.50998,17.53591141,0.072629995,0.153291612,0.153291612,0.62843146,86.96563429,86.96563429,443.6215252,480.5226225,1,0.031994876,0.73809522,0,57.805416,0,0,18.868406,0,65.999329,177.69658,132.5002564,64.88286396,18.868406,0,2.564975844,1.540282331,0.29071587,15.022536,71.46156262,71.46156262,44.125496,2.024812501,0.010554946,2.663702378,2.484114615,0.424767464,0.061498206,384.4325978,3.560458566,2.797046816,1.249250792,2.316074011,2.668048072,2.560528979,2.173608328,-1.994081072,-9.314359153,1.42394844,390.7044165,478.969289,12.96684504,1.809470643,1.370588559,3.043705767,4.321946773,0.231076329,0.291508898,0.373382277,0.556647164,0.737759566,0.900081381,1.15077668,1.600333481,1.516588394,1579.613279,1592.944608,1038.118362,571.7385778,79.81317604,18.71440699,0.598224979,6111
-1.220328047,4.812603399,0.149716759,0.821107288,19.21119831,-210033.0127,-42.75333372,-16.38121495,89.35195511,388.9542752,288.5653725,522.9627883,3,5,15.79320532,0,3.206794682,1.63426509,48.20679468,5,14,1.4955996,-2.801486948,-0.529001953,2.890414787,-3.368494342,-0.610764794,0.53410751,2.673885034,-0.444682972,9,0.2,0,4,0.2,6432.818412,1784.486854,254.9457612,4648.33141,0.838418824,17,6.12386016,1.489039219,-0.21273978,-2.699481996,25.37605267,298.3194337,2.839301302,0,22.40728595,30.97250275,86694.23416,-344.8286868,3.303984009,13.70085989,0.007000465,39.16847999,49.34855594,0.479127691,0.165126301,0.35574601,7.922831426,2.198928962,-0.857979872,-0.362033591,0.18510798,-2.23823617,-0.466138566,0.054200001,3.09,-0.645,-0.243624322,0.154571316,20.77354008,19.65174431,-11.89942117,11.1263107,3.863685017,7.628763158,6.875622056,10.09188673,1.630141457,7.0620189,14.6135,12.131009,19,21.20679468,0,3,-9.01826,2.356033788,0,0.35711103,23,5,-13.31066913,-6.852893377,0.034476092,0.057255822,15.97899964,141.6213106,109.4320369,28.01106965,90.18926617,0,82.91821138,0.14138027,0,0,0,0,0.526363944,0.165429289,0.165174028,92.77596491,0.47058824,4631.08389,5913.968017,3877.811536,4578.52629,16.51746434,0.074380194,0.165174028,0.165174028,0.613997655,92.63458469,92.63458469,437.0601118,468.2922875,1,0.03394927,0.73809522,0,60.292095,0,0,18.868406,0,65.999329,203.08182,105.4945238,58.9914096,18.868406,0,2.545763446,1.560565546,0.29071587,15.022536,56.89652063,56.89652063,44.125496,1.821115853,0.010225266,2.665258024,2.493630422,0.421294666,0.064171569,377.7607292,3.042900349,4.320059766,1.853878376,5.280531371,1.324640263,3.979565102,4.416766661,-1.902288702,-10.00026341,1.4147434,445.4338946,530.5660031,14.60134994,1.803941283,1.170614349,2.150368965,3.759996674,0.188416732,0.214662243,0.294515468,0.480986924,0.768322703,1.044349964,1.597005547,2.321435451,1.523778981,1571.818576,1519.622534,963.3679044,519.2620662,69.07973146,14.05777391,0.338092882,6111
-1.30477582,4.524975735,0.102935159,0.901044166,25.71802972,-143880.0207,542.2791206,-18.58516496,71.85307326,317.2251443,351.3466157,356.5450546,2.762322015,4.762322015,8.059145674,0,3.940854326,1.564573403,40.94085433,5,7,1.6836184,-2.808401814,-0.442860625,2.886011525,-3.413000977,-0.479600758,0.49119688,2.670581297,-0.356968605,6,0.18181819,1,4,0.18181819,4065.64693,580.0862328,251.7795252,3485.560697,0.766636335,14,7.202135071,-3.605352966,-2.261004098,1.935386879,18.73375955,326.5965897,-140.2427884,0.001210493,4.207868616,0.332478228,18878.02983,-511.658824,2.974233182,9.683915812,0.00763708,12.31101394,44.8194393,0.447940594,0.092763658,0.496254824,5.73952464,0.822294252,-0.863942886,-0.316386828,0.184816297,-2.2460298,-0.340829455,0.054200001,3,-0.645,-0.212199358,0.124832331,10.20051081,18.85798354,-8.989902348,10.6657962,4.37572755,7.608502698,8.441461501,6.161827391,1.536189017,5.566864,10.2311,8.2398357,12,15.94085433,0,2,-4.0479999,0.941787425,0,0.223671687,18,4.983570646,-8.855584762,-4.295634224,0.042430974,0.089929314,49.06293645,103.173122,66.29921838,19.87226545,39.57389261,0,95.30003815,35.25340059,3.369091899,0,0,0,0.610085575,0.178471494,0.09325828,80.96778561,0.5,1914.667934,4820.840428,2523.186089,1922.716441,12.79643921,0.108631252,0.138860993,0.120238699,0.546783396,63.05871477,54.6001949,303.005789,391.1905427,1,0.049938143,0.41935483,0,39.365837,0,38.140617,37.736813,33.326015,43.99955,89.94485023,108.6782546,27.13207141,55.379993,66.223206,2.040131308,1.349379698,0.36097246,10.015024,60.68740241,60.68740241,29.416998,2.207418172,0.032877788,2.627441123,2.204461311,0.248282938,0.029412892,568.3551747,7.067371212,2.50874231,6.531742948,5.314037338,2.376022758,6.261955799,6.542811367,-2.040177215,-8.131862399,1.388395124,197.3574832,213.6781476,4.439245818,0.530223442,1.163115158,2.89792623,2.600608015,0.374655228,0.627287373,0.710670573,0.971618138,1.289602624,1.304790312,1.69488271,2.563256204,1.454465638,1049.09083,1313.306318,814.9737904,437.7510888,62.12614165,16.36669134,1.063406166,2700
-5.191677669,4.199010183,0.419404765,0.910219164,25.76303806,-196863.4404,-60.47814623,-15.34943623,81.90693438,343.7093785,239.3159562,505.5595075,3,5,12.5734494,0,6.235038085,1.711678827,41.4265506,7,12,1.921404093,-2.765482344,-0.538931174,2.888076619,-3.25939917,-0.629896504,0.531539983,2.659674687,-0.450524556,9,0.21428572,3,4,0.259624868,5633.179618,2400.435957,172.1974653,3232.7436,0.843971454,15,7.741892828,-0.193836292,-0.566384407,-5.42621418,3.47E+01,-67.62811302,-428.1338387,0.007329791,0,-5.24E-14,0,-421.3525606,-0.163637603,17.19647066,0.008052387,36.90543154,60.84684525,0.460841205,0.231045743,0.320863652,7.561772689,3.233845213,-0.850150521,-0.411897681,0.156981169,-2.219999423,-0.492434232,0.054200001,3.03,-0.6,-0.24584948,0.165635191,16.32219801,15.0677167,-10.69214443,5.640208939,2.658264241,7.817663018,10.08153618,2.457826724,0.699145976,7.0587926,12.505544,9.5347414,19,18.4265506,0,3,-6.262612476,0.340103569,0,0.555403963,19,5,-13.99255495,-6.438802457,0.039071807,0.060940041,18.90879496,106.1986103,53.5799433,43.99635721,78.0954954,82.06350979,38.8650779,29.84863943,0,0,0.544142226,39.15829831,0.453596576,0.24305425,0.189302789,135.2780526,0.46666667,4479.059198,3295.558858,2742.832957,4305.621747,16.41910512,0.069112744,0.189302789,0.189302789,0.600891837,105.4294103,105.4294103,440.1342854,451.5564186,1,0.073202685,0.47499999,3.7981856,20.926258,0,34.50450552,0,33.326015,67.861771,249.0221841,42.9004711,68.94448439,0,86.368423,2.219281485,1.980444672,0.29692331,24.12608721,81.36110883,84.75901765,82.838623,2.001368446,0.016069175,2.640368143,2.370803602,0.499194049,0.073867857,475.4233987,22.64837923,1.678256744,1.292846807,0.960488446,5.216961929,6.125914641,6.355568953,-2.825945185,-8.807002268,1.377466638,470.108991,547.2099066,7.251616066,1.286415013,1.372379466,3.389818467,3.824999624,0.514541055,0.601636851,0.626136323,0.639071774,0.802665694,1.072073276,1.189487124,1.953091514,1.528474252,1406.133601,1350.647805,770.1564694,406.0041919,83.09161479,41.93076829,8.105859349,4989
-1.532168277,4.508193967,0.111737166,0.883446497,24.42178826,-155728.6284,317.7882565,-17.55147285,71.45013615,342.6224399,269.9735151,430.6065512,3,5,10.42948038,0,3.570519618,1.607305712,40.57051962,5,9,1.6991706,-2.810804916,-0.490502775,2.886498906,-3.365233711,-0.542405812,0.498148673,2.675149802,-0.406293622,6,0.17647059,0,4,0.17647059,4698.650744,890.0806982,254.6383271,3808.57005,0.80615417,14,7.551763644,4.540579141,-0.663465008,-0.446939623,20.69891221,310.0513887,-89.73168522,0,0.996352407,0.554802778,1829.096501,-439.687938,2.988834232,10.14331224,0.005618945,20.95150738,39.90486138,0.488862655,0.125776153,0.385361191,6.699853854,1.272564819,-0.858005716,-0.33430558,0.185213112,-2.239345007,-0.434307352,0.054200001,3.01,-0.645,-0.229423702,0.144002968,13.84637226,16.83965816,-10.48221913,11.40925312,4.15584372,7.6318325,7.731293954,7.779905622,1.64737149,5.6444635,11.16,9.2774744,14,18.57051962,0,2,-6.4120002,1.870364934,0,0.250310962,18,5,-10.10083877,-5.023998879,0.040586656,0.078099416,32.07035981,96.13635394,82.92668036,16.33899364,59.64104204,0,92.3230621,2.66668023,0,0,0,0,0.518091708,0.146297648,0.140268033,64.9740268,0.5,2215.373378,4980.95021,1975.852009,2631.885449,13.67135843,0.096161651,0.140268033,0.140268033,0.609411871,62.30734591,62.30734591,333.1694101,382.10317,1,0.041077984,0.34375,0,39.365837,0,0,37.736813,0,43.99955,126.92613,117.4600509,47.02588247,37.736813,0,2.120417182,1.346667514,0.35236704,10.015024,63.34990617,63.34990617,29.416998,2.989555386,0.014523993,2.746463348,2.556127548,0.352902453,0.052266832,373.9799466,3.755904763,3.881117069,3.980167051,3.917081153,1.494259587,2.226018293,2.480524588,-1.934925749,-9.309293118,1.383128266,303.6678447,344.5237806,9.39098609,1.319321706,1.745243295,3.164794864,2.970629453,0.220835132,0.297001587,0.540037314,0.942523419,1.319793748,1.49943077,1.764428285,2.321284952,1.450390407,1313.028134,1377.418631,897.8370423,497.1606923,65.71517687,13.31650639,0.216087941,2932
-1.41702852,4.124426593,0.199071344,0.776705565,14.22591803,-151720.2116,443.5431765,-18.51157601,79.24447366,216.7049956,450.613668,252.3235384,3,5,8.253144654,0,3.746855346,1.517234601,46.74685535,5,7,1.6847405,-2.818513619,-0.41223633,2.884405488,-3.421599914,-0.483396854,0.465076639,2.709618413,-0.352269425,7,0.2,0,5,0.2,2714.951229,312.7747388,181.0864502,2402.176521,0.74682053,15,4.365243696,0.504495191,-1.341454121,0.706902289,1.76E+01,309.5290712,-98.01362844,0,0,-1.59E-14,0,-453.5236681,3.335236924,11.42406252,0.006040944,20.39985312,45.98097366,0.308263877,0.050783382,0.640952756,3.858777619,0.445923599,-0.870773883,-0.303496474,0.177102279,-2.24804441,-0.337339782,0.054200001,3.08,-0.644,-0.207394469,0.12487743,11.07133032,22.0477577,-11.53069961,9.414589899,4.499463033,7.902099895,6.66230514,4.377441474,1.665752363,6.0491495,11.372781,9.5067167,12,14.74685535,0,2,-2.905,0.462235794,0,0.428479851,18,5,-8.77231612,-4.291173902,0.04328005,0.090032547,75.9000657,127.4126034,56.28225571,17.44015284,41.05753693,0,82.68018707,55.53059252,0,0,0,0,0.667874422,0.195345007,0.083689957,97.2091056,0.46666667,3048.827303,2867.590331,2980.441453,2386.845158,12.51917138,0.111226938,0.083689957,0.083689957,0.514486093,41.67851046,41.67851046,297.8902638,456.3034012,1,0.044781467,0.75757575,0,20.926258,0,65.794373,56.605217,66.652031,43.99955,105.8337705,75.39646692,29.63850255,56.605217,132.44641,2.505338673,1.47712573,0.3442024,10.015024,46.6062325,46.6062325,29.416998,3.445261716,0.058746396,2.527841131,1.971430408,0.215846574,0.050127717,682.9287784,19.36448261,4.942068621,3.947582598,1.746594594,2.964780419,4.130894438,2.882184513,-2.012556445,-10.25143286,1.336570355,190.5613714,159.6780847,8.93256898,0.342923788,1.715707616,2.033164367,2.413503375,0.366616826,1.150588413,1.48563452,1.716468495,2.08472459,2.383994394,2.517853847,2.47750463,1.547151072,874.4754488,1196.090307,671.2118937,346.1913728,52.62777428,13.87811494,0.624096713,3234
-1.601337476,3.442269357,0.137606785,0.826188287,14.72505851,-107515.6034,280.3078645,-18.03539979,49.58943363,278.5971995,169.9698759,350.6888214,3,5,7.119324182,0,2.880675818,1.607443857,28.88067582,4,6,2.0773919,-2.797354453,-0.484392808,2.877451288,-3.368238284,-0.557479542,0.51907989,2.650982179,-0.427169643,3,0.13043478,0,4,0.13043478,2873.643976,534.5846803,206.505577,2339.059294,0.804060974,10,5.01647909,2.068409364,1.107776076,-0.008235831,14.50441163,251.2130606,-95.39913788,0,-0.002557514,-0.001480452,15.62683142,-383.319912,1.591001932,7.318033026,0.009875661,13.89914122,36.70771412,0.534758889,0.138803258,0.326437853,5.511908707,1.029418078,-0.858019195,-0.314008074,0.185110256,-2.238607838,-0.434713198,0.054219133,2.796325669,-0.645121125,-0.234848666,0.145905568,9.454748329,11.85256643,-8.319856458,9.410424904,3.287487684,7.725820974,8.116497276,4.877515365,1.19339084,3.5916824,7.2664361,6.0576525,10,14.88067582,1,1,-5.289,1.858979665,0,0.322402408,12,3,-7.405347343,-3.605690865,0.053830428,0.107364979,16.48577077,55.19701999,66.94664727,8.271010362,45.31340086,0,74.48574404,0.009188293,0,0,0,0,0.469092909,0.149144509,0.14911434,46.71601907,0.5,1142.579655,1601.528542,1156.003553,1102.794558,10.28602323,0.130277763,0.14911434,0.14911434,0.632581791,46.70683078,46.70683078,244.9988944,266.7087855,1,0.054625338,0.5,0,18.439579,0,0,18.868406,0,21.999775,101.54091,94.76613011,36.8226161,18.868406,0,1.908693094,1.071784142,0.4530769,5.0075121,51.1103604,51.1103604,14.708499,2.701544921,0.014258022,2.911216529,2.70781731,0.378388579,0.032388401,242.093803,3.106604671,1.08611992,1.357321575,0.888825221,4.54768368,5.129131368,5.884719725,-1.87813137,-8.005038875,1.277284246,236.6428194,260.3538439,3.839663294,1.533538857,1.634280128,3.586443869,4.591978158,0.169629773,0.144613092,0.293323905,0.719232784,1.102270423,1.14549169,1.306070809,1.899800048,1.398465525,1037.078552,1068.310934,720.4581356,404.1244893,56.46093463,13.53109833,0.638800332,1012
-0.397744985,4.594839565,0.084692204,0.853523619,24.05710022,-165403.6705,18.11617409,-16.18262984,70.80120057,344.6109018,243.6760968,457.3966294,3,5,12.15856237,0,2.841437632,1.626526777,38.84143763,4,11,1.7220645,-2.807982016,-0.527784574,2.885668394,-3.362082307,-0.606170199,0.512838178,2.668830783,-0.436948045,6,0.17142858,0,4,0.17142858,4636.475926,1193.676561,231.8251639,3442.799381,0.834608881,14,7.32796241,1.668609711,1.574130378,-1.391906097,1.92E+01,238.6374126,-30.00056935,0,0,-1.26E-13,0,-308.7826824,2.926655469,10.44659957,0.005906903,28.88309153,40.14470952,0.491476444,0.161020842,0.347502714,6.610597668,1.704265975,-0.857884686,-0.365829604,0.185110121,-2.237905288,-0.471599178,0.054200001,2.986602186,-0.644533343,-0.24006817,0.157279053,15.81869818,15.82377494,-9.861628944,9.825180737,3.294980593,7.705528234,8.125708971,5.258805184,1.291551329,5.5555553,11.372781,9.5067167,15,17.84143763,0,2,-7.2049999,2.150792664,0,0.245073582,18,5,-10.57072304,-5.447918692,0.041984062,0.072021959,17.6322503,97.68895043,87.34808578,24.34230285,72.269211,0,73.47116076,0.1747621,0,0,0,0,0.507089354,0.168320367,0.167925281,75.40933097,0.5,2386.930316,3270.749518,2559.64801,4467.978456,13.41216068,0.091187813,0.167925281,0.167925281,0.612785408,75.23456895,75.23456895,349.8868629,372.9267165,1,0.041849865,0.66666669,0,39.365837,0,0,18.868406,0,43.99955,177.69658,93.47530421,38.11344204,18.868406,0,2.237591739,1.199276817,0.3442024,10.015024,50.4141772,50.4141772,29.416998,2.026505388,0.009418786,2.771570638,2.593973002,0.420789815,0.044144976,306.3326691,4.316502477,0.594337673,0.635769148,0.670333159,4.437237919,3.044681459,3.655119358,-1.973318621,-8.603743546,1.385204444,369.9092786,472.0914751,8.36616044,1.955861054,1.3312022,3.288261271,4.221130158,0.219581891,0.23736372,0.354731442,0.583555024,0.785806531,0.955758387,1.326340634,2.175319999,1.449038456,1398.087161,1366.540119,868.5434942,458.7445028,56.21998503,11.62139055,0.055190764,3160
-0.102328081,5.036704705,0.060068994,0.762710944,20.32948253,-199059.137,-23.60439707,-16.25441348,85.43149482,384.7768727,280.6240224,539.5021217,3,5,13.83050847,0,3.169491525,1.635212476,46.16949153,5,13,1.8425663,-2.812240886,-0.520668233,2.876079613,-3.334871047,-0.604800587,0.514641936,2.677931109,-0.425092477,10,0.23809524,1,6,0.26190478,6040.833706,1935.990238,230.0516001,4104.843376,0.830552332,15,7.648838041,-1.315233692,6.683258606,1.959526307,1.89E+01,243.0961618,-59.11406156,-0.218913091,0,-1.98E-13,0,-346.9271594,2.877575769,12.07244783,0.006538734,27.71286893,44.71693053,0.469074129,0.188729525,0.342196349,7.362952664,2.361547414,-0.862452855,-0.384369236,0.185165164,-2.235974751,-0.48158565,0.054200001,3.072486559,-0.642400945,-0.239221383,0.152992886,18.37410096,19.67349048,-11.54944024,10.68312334,3.515435916,7.771067115,9.034787426,3.137527136,0.904457185,7.7555523,14.584665,12.130054,18,20.16949153,0,3,-8.2089996,1.986993931,0,0.30491567,18,5,-12.50577966,-6.468553961,0.036002285,0.060657675,34.98147184,124.0440175,84.5173393,32.94483954,82.593384,12.949531,81.95366232,1.788193561,0,0,0,13.566921,0.505435929,0.175603166,0.172342275,96.67483014,0.46666667,4405.730179,10504.8291,3926.546973,505.6410334,15.67527119,0.07559568,0.172342275,0.172342275,0.594656105,94.88663754,94.88663754,422.3564134,455.7724324,1,0.036349035,0.55000001,5.2587838,57.805416,0,0,37.736813,0,67.861771,203.08182,122.2781105,27.32139192,37.736813,0,2.665203135,1.108857519,0.29692331,23.581945,56.23466977,61.9172472,42.366531,2.744238975,0.009560272,2.680511148,2.520146138,0.433402533,0.070307705,385.4326006,5.273569915,0.664544574,1.532203367,1.754809144,1.336327312,7.318574106,8.27340738,-2.092745232,-8.696062573,1.448468625,472.9860964,542.2088189,15.24549788,1.809338005,1.820492421,4.563406359,4.578990603,0.179243433,0.138835853,0.369333578,0.737627608,1.014145949,1.129826491,1.508047003,2.220058092,1.479106158,1607.717823,1528.550053,961.8294492,538.0391949,81.75370763,20.00251589,0,5207
0.2499802,3.286169014,0.034019315,0.785985208,12.48700033,-77002.79671,172.4137811,-11.62247373,33.430309,246.2737789,159.5353796,304.1846843,0,1,3,6,3,1.8483173,13,7,1,2.617466,-2.4425452,-0.36262318,2.3683717,-2.972677,-0.29810551,0.40813026,2.3398995,-0.056134779,2,0.11764706,2,4,0.23529412,1851.4863,777.6910109,126.9777203,1073.795292,0.85994947,9,3.22206237,3.064053357,-0.175896993,-0.515345974,9.673771722,-171.320738,-229.0613046,-0.032424053,0,0,0,-85.37719667,1.841040442,5.865702432,0.002837815,15.22726287,27.63663006,0.531087777,0.257253912,0.344028997,3.992717955,1.677038208,-0.82219362,-0.37859905,0.0779,-2.1880567,-0.36143994,1.03E-01,2.2395687,-0.5596931,-0.11261684,0.22512364,7.4267149,2.3535993,-3.1092987,-0.028156796,0.99998164,11.138162,11.264558,1.0013551,7.58E-05,4,4.4069238,2.8155746,8,7,1,1,-0.56046999,-0.99489999,1,0.241960277,7,1,-6.5190001,-2.0169828,0.13343197,0.15397207,25.592316,0,39.619152,15.710309,43.095066,0,28.631105,46.477379,29.581947,13.566921,11.502043,6.6511192,0.6230529,0.44234037,0.11491414,121.08165,0.44444445,666.6279819,2035.543906,434.0745057,323.9831885,7.5180001,0.14833564,0.27254733,0.16447736,0.6339578,74.604271,45.022324,218.55533,199.12532,0,0.15961692,0.52941179,40.728935,0,26.618963,65.794373,0,43.804485,23.862217,65.243027,21.135065,37.553028,32.897186,104.94302,1.571480864,0.645299352,0.52255934,24.932074,41.167557,58.910046,60.022987,3.384511939,0.087522157,2.794379685,2.211249078,0.303616382,0.075290633,642.0705962,66.74561828,0.5,1.96043596,2.006218235,0.603553205,0.552056144,0.551497421,-2.729875623,-10.23721792,1.27757284,110.3101417,94.43412673,5.342906668,0.284670092,1.027611065,0.701999942,0.530816315,0.934107264,1.972672931,2.448196082,2.592128958,2.35966581,2.111563247,1.368718093,0.742310421,1.325494359,658.6695712,963.7286987,555.2449382,284.7462913,50.84122103,24.09020862,4.469930643,524
