Name,Paromomycin,Gentamicin,DMA-1,DMA-164,DMA-193,DPF p1,H-33258,DCC-3q,Thiazole Orange (tosylate),DPF m9,DPF p15,Bernil p13
Neomycin B,0.976190476,0.24,0.027027027,0.047619048,0.053571429,0.04109589,0.024390244,0.031914894,0,0.063291139,0.060240964,0.045454545
Paromomycin,1,0.236842105,0.026666667,0.047058824,0.053097345,0.040540541,0.024096386,0.031578947,0,0.0625,0.05952381,0.04494382
Sisomycin,0.25,0.544117647,0.060240964,0.075268817,0.083333333,0.086419753,0.054945055,0.068627451,0.029411765,0.078651685,0.086956522,0.072164948
Streptomycin,0.253164557,0.197802198,0.069767442,0.072164948,0.072,0.082352941,0.020408163,0.066037736,0.038095238,0.075268817,0.06122449,0.058823529
Tobramycin,0.566037736,0.291666667,0.027027027,0.047619048,0.053571429,0.04109589,0.024390244,0.031914894,0,0.063291139,0.060240964,0.045454545
Gentamicin,0.236842105,1,0.06097561,0.064516129,0.057377049,0.048192771,0.032608696,0.038461538,0.009708738,0.043956044,0.064516129,0.051020408
Neamine,0.688888889,0.28358209,0.029850746,0.051948052,0.057142857,0.045454545,0.026666667,0.034482759,0,0.054794521,0.065789474,0.049382716
Kanamycin,0.653061224,0.281690141,0.027777778,0.048780488,0.054545455,0.042253521,0.025,0.032608696,0,0.064935065,0.061728395,0.046511628
Amikacin,0.455882353,0.238636364,0.057471264,0.072164948,0.072,0.045454545,0.020408163,0.056074766,0.009259259,0.063829787,0.072164948,0.048543689
DMA-1,0.026666667,0.06097561,1,0.490909091,0.244444444,0.09375,0.068493151,0.491803279,0.035714286,0.054054054,0.064935065,0.048780488
DMA-148,0.053333333,0.034883721,0.565217391,0.68,0.325581395,0.074626866,0.038961039,0.367647059,0.022988506,0.066666667,0.076923077,0.073170732
DMA-156,0.023255814,0.042553191,0.557692308,0.328571429,0.28125,0.14084507,0.1125,0.59375,0.053763441,0.098765432,0.107142857,0.054347826
DMA-164,0.047058824,0.064516129,0.490909091,1,0.319148936,0.078947368,0.084337349,0.355263158,0.053191489,0.153846154,0.08045977,0.113636364
DMA-180,0.031914894,0.028846154,0.323529412,0.378378378,0.466666667,0.097560976,0.101123596,0.3875,0.07,0.126436782,0.133333333,0.104166667
